song_id,song_name,song_duration,song_url,song_popularity,song_added,album_id,artist_id
0Jg602cHeMCnPez9baacIe,Cotton Eye Joe,193826,https://open.spotify.com/track/0Jg602cHeMCnPez9baacIe,60,2023-07-14 10:06:53,3MLXp4rTGt1USufyODvXuz,22Zqu1yyebVnbve8FxbJ2g
6wBMTv8yTiNh50fqTkT0JC,Everybody Everybody,247001,https://open.spotify.com/track/6wBMTv8yTiNh50fqTkT0JC,59,2023-07-14 10:06:53,6r4vIr4aUsK00mGHDiQkrl,6tsRo8ErXzpHk3tQeH6GBW
6YX75Ps2XsWn9dOzwbqmNV,This Is Your Night,238160,https://open.spotify.com/track/6YX75Ps2XsWn9dOzwbqmNV,59,2023-07-14 10:06:53,5Uu4tVZ7B5NdpKxXa9JrGA,6uGKydhYXrVOEXM6QbVzyH
2kWB9IV8EHDOU9EjgxWFrF,Sandstorm - Radio Edit,226533,https://open.spotify.com/track/2kWB9IV8EHDOU9EjgxWFrF,59,2023-07-14 10:06:53,0SHWgw0LPDs37Go6oPdaqp,0LhHRmSd1EYM5QdNeNnCoQ
0yx5eBLk3AGOH5EruCqLDx,Hardcore Vibes,213240,https://open.spotify.com/track/0yx5eBLk3AGOH5EruCqLDx,59,2023-07-14 10:06:53,5hAcH6CTDKGj43pMhp4iwR,4u78tFtzvcrrs8kzkXsW4r
5IPJsGFKtxKDPCkT8lhEjN,The Rhythm of the Night,264306,https://open.spotify.com/track/5IPJsGFKtxKDPCkT8lhEjN,59,2023-07-14 10:06:53,5ooTXuDOxCNohug76VGayS,26T6b8maqEVltcmE4kSDUl
3FgrXi0L9lkaFJlNy5NZ0k,Sexy,231093,https://open.spotify.com/track/3FgrXi0L9lkaFJlNy5NZ0k,59,2023-07-14 10:06:53,0ZUU0rETCIdO13CCmQnKfr,6ja9fzugcFkIEIXRw3Ie1E
4QAKfScH8kLJTbJqhb2jp2,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,229573,https://open.spotify.com/track/4QAKfScH8kLJTbJqhb2jp2,58,2023-07-14 10:06:53,7MtJHdiKmt3Gbus6oyXhy1,2sd9Q3r0Jhqpe3w9WVuG43
4cqiLvFRDuV8ClE61eMmZx,Never Alone,351026,https://open.spotify.com/track/4cqiLvFRDuV8ClE61eMmZx,58,2023-07-14 10:06:53,3us11hQQJX1JXSIOz98bGG,5wsBGjgRsASMggXLPF7pYm
44o1MQVbm8S827avRs4RHc,Feel the heat of the night - Radio Edit,221840,https://open.spotify.com/track/44o1MQVbm8S827avRs4RHc,58,2023-07-14 10:06:53,73rwjoMZxrGQdbe5rPK7EY,76JYFj8E2jcib0XIrnWR6E
0juz4iKEbAAKHfPzqgixRK,Love Is All Around,269706,https://open.spotify.com/track/0juz4iKEbAAKHfPzqgixRK,58,2023-07-14 10:06:53,4pjPDN9F3qcR4Mug9VAPii,14dmbYen0AciYxu5n4Fkpd
7FpkmUt2H3Mf9TVEGHkUpk,Will I Ever,194072,https://open.spotify.com/track/7FpkmUt2H3Mf9TVEGHkUpk,58,2023-07-14 10:06:53,7wyEph8JrTyNFNPmRCu3pU,2tbvDi9eXf9XXp06LupkED
5FA90DipIi1TKifttlVKF1,Omen III - Single Edit,237973,https://open.spotify.com/track/5FA90DipIi1TKifttlVKF1,58,2023-07-14 10:06:53,6XlL7z7CWAcyVa3RpSRsMb,57wcrAkVrpq3DyUqt6S8Sg
1M3Im6Xjl0QUKbP9VAXxVf,Sweet Dreams,204586,https://open.spotify.com/track/1M3Im6Xjl0QUKbP9VAXxVf,58,2023-07-14 10:06:53,18INLUvzq7lcQUrdaqtgIN,488v7rQzthLNK22r0UvMie
6x6G0shZs4Qg4YLfLbhR7z,Right in the Night (Fall in Love with Music),364400,https://open.spotify.com/track/6x6G0shZs4Qg4YLfLbhR7z,57,2023-07-14 10:06:53,24srMCTo4eOojmFVk9iLdt,2MIKLLJyOv1o5u49KRbfH7
7M2wk27EePpYr9TH3uZY1r,Somebody Dance with Me,209014,https://open.spotify.com/track/7M2wk27EePpYr9TH3uZY1r,57,2023-07-14 10:06:53,4R3t81cmGUQrTRFXTw7iI1,14dmbYen0AciYxu5n4Fkpd
0r2joAcaJghNmtRIBBIzu1,Let the Beat Go On (Short Version),243266,https://open.spotify.com/track/0r2joAcaJghNmtRIBBIzu1,56,2023-07-14 10:06:53,5DqnXBdlgQl0RqhuwHQSzd,6BkcAbUkfIBM4XudxieMq8
26oBh1fvCfQ5ZaBAgwnLAw,Stay - Original Single Edit,212560,https://open.spotify.com/track/26oBh1fvCfQ5ZaBAgwnLAw,56,2023-07-14 10:06:53,1olrz5rnUp5iYb1KEztPVU,5XTxV2ifoYkmNb13Gb6cKz
79yxhRPydB5Zs0fWh3QICm,United - Short Mix,221280,https://open.spotify.com/track/79yxhRPydB5Zs0fWh3QICm,56,2023-07-14 10:06:53,61NPV53hdl13ljABTLGIfF,4PTTDM08OI9jnPTOZ7QRn1
0Lg4ckCFjFUeyHOeSozcWS,"The Key, The Secret",222666,https://open.spotify.com/track/0Lg4ckCFjFUeyHOeSozcWS,56,2023-07-14 10:06:53,6IjQa4ZCnkSa9cnUvA3yJG,1QYMj6ouUhi6yis1HE8M68
4Q7fEjeCZgU8oxjbLWrm7L,Can‘t Stop Raving (Video Mix),216333,https://open.spotify.com/track/4Q7fEjeCZgU8oxjbLWrm7L,56,2023-07-14 10:06:53,1hMjJNZT1jhuWNotbgTRsB,4u78tFtzvcrrs8kzkXsW4r
7xR6hQnqYOjpBu343MRMqa,Flying High - Radio Mix,226933,https://open.spotify.com/track/7xR6hQnqYOjpBu343MRMqa,56,2023-07-14 10:06:53,0e23ii86vcNFqLU6NsKc7a,3El2sJgqTWkg1kkyHHAEu4
5PTWlk21hqWnFu841NOp7k,I Give You My Heart,215066,https://open.spotify.com/track/5PTWlk21hqWnFu841NOp7k,55,2023-07-14 10:06:53,2aMWSTZkHdS6mR28WtpuxY,7KBkgunlONG7LPxs93pgpp
